Series	Platform
GSE32682	GPL6801
GSE16583	GPL2004
GSE16583	GPL2005
GSE3557	GPL1282
GSE3557	GPL3047
GSE3562	GPL1282
GSE3562	GPL3046
GSE3562	GPL3047
GSE33229	GPL6801
GSE35189	GPL9128
GSE33598	GPL6801
GSE33848	GPL6801
GSE35052	GPL3718
GSE35052	GPL3720
GSE34200	GPL570
GSE34200	GPL4091
GSE34200	GPL6480
GSE34200	GPL6984
GSE34200	GPL8490
GSE34200	GPL9081
GSE35278	GPL4091
GSE35740	GPL14965
GSE36003	GPL6801
GSE36363	GPL3720
GSE36363	GPL6801
GSE36458	GPL6801
GSE36823	GPL2879
GSE36908	GPL6801
GSE3992	GPL3332
GSE37384	GPL6801
GSE38073	GPL6801
GSE4017	GPL3355
GSE39380	GPL3718
GSE40698	GPL6984
GSE39281	GPL10150
GSE40299	GPL9777
GSE40299	GPL10123
GSE36511	GPL9077
GSE4405	GPL3332
GSE4405	GPL3522
GSE4405	GPL3523
GSE4405	GPL3524
GSE4405	GPL3528
GSE37698	GPL3720
GSE4078	GPL3372
GSE4078	GPL3383
GSE76436	GPL16131
GSE77536	GPL18637
GSE96897	GPL16131
GSE96900	GPL8736
GSE85937	GPL16131
GSE85937	GPL21558
GSE96905	GPL10123
GSE97086	GPL8888
GSE62779	GPL8841
GSE70541	GPL8841
GSE70541	GPL11068
GSE68794	GPL13135
GSE41592	GPL2004
GSE41592	GPL2005
GSE53436	GPL6801
GSE43027	GPL5477
GSE64050	GPL13829
GSE7886	GPL5114
GSE42271	GPL6801
GSE73979	GPL10123
GSE45471	GPL13829
GSE48482	GPL8882
GSE54994	GPL15436
GSE62439	GPL8841
GSE62439	GPL19303
GSE7878	GPL2827
GSE50134	GPL8841
GSE6754	GPL2641
GSE42984	GPL10123
GSE8123	GPL2641
GSE64503	GPL8971
GSE55645	GPL9777
GSE60607	GPL6801
GSE76730	GPL3718
GSE74948	GPL4091
GSE7122	GPL4560
GSE62407	GPL3718
GSE62407	GPL3720
GSE62407	GPL6801
GSE76100	GPL16131
GSE61323	GPL6801
GSE36942	GPL5477
GSE70987	GPL16573
GSE65452	GPL6985
GSE7950	GPL5000
GSE7950	GPL5114
GSE7274	GPL4998
GSE7274	GPL4999
GSE6262	GPL4421
GSE41263	GPL2004
GSE41263	GPL3718
GSE55345	GPL10123
GSE44300	GPL8841
GSE62438	GPL6801
GSE27574	GPL8841
GSE27574	GPL9128
GSE7408	GPL5015
GSE49430	GPL9777
GSE74555	GPL6801
GSE43477	GPL8841
GSE50577	GPL14965
GSE55016	GPL10123
GSE55016	GPL10152
GSE44019	GPL6801
GSE4591	GPL2616
GSE49483	GPL16131
GSE46060	GPL3718
GSE46060	GPL11157
GSE50602	GPL17052
GSE65453	GPL8693
GSE5173	GPL3718
GSE5173	GPL3720
GSE54140	GPL10152
GSE64719	GPL18636
GSE6225	GPL5000
GSE6225	GPL5114
GSE46343	GPL8971
GSE7882	GPL5326
GSE68597	GPL8736
GSE68597	GPL20158
GSE65113	GPL3718
GSE65113	GPL16131
GSE6123	GPL3898
GSE6123	GPL4482
GSE6123	GPL4483
GSE46005	GPL11157
GSE80029	GPL10123
GSE8598	GPL5672
GSE8614	GPL5679
GSE9003	GPL5711
GSE8737	GPL5713
GSE81752	GPL8687
GSE81753	GPL8736
